0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
COVID-19,Crisis communications,Data analytics,Destination marketing,Destination marketing organisations (DMOs),Marketing strategy,Social media strategy,Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agar,Alginate,Lactobacillus plantarum MB001,Microcapsule,Microemulsion,Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adsorption,Carboxymethyl cellulose,Coconut shell activated carbon,Lactic acid recovery,Thermodynamic and kinetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmatory factor analysis,Exploratory factor analysis,Measurement invariance,Patient perception,Patient-centered dental care,Primary care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au and Cu2O decorations,DP25,Methylene blue degradation,PET support,Photocatalytic films,Wet impregnation method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durian,Durio zibethinus L.,Fruit ripening,Methionine γ-lyase,Sulfur metabolism,γ- glutamylcysteine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrhenius law,Computer simulation,Enthalpy of adsorption,Henry coefficient,Monte Carlo simulation,Selective adsorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognitive impairment,Mastication,Oral function,Physical activity,Social activity,Swallowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyloid beta,Asiatic acid,Memory dysfunction,Mice,Nose-to-brain,SLNs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biowaste,Calcium acetate,Calcium carbonate,Oyster-shell waste,Thermal decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitochondrial quality,Mitral regurgitation,Pimobendan,Rat,Reactive oxygen species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual SES,Age,Aggression,Death anxiety,Life satisfaction,Perceived SES,Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid sites control,Biomass,Brønsted acid,HMF,Lewis acid,Mesoporous silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidepressants,Direct medical costs,Economic costs of an illness,Intangible costs,Major Depressive Disorder (MDD),Productivity loss,Fail-to-treat,Treatment-resistant depression (TRD),Unpaid caregivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autochthonous pathogen,Fecal indicator bacteria,Marine water,Quantitative microbial risk assessment,Risk,Swimmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-SARS-CoV-2 IgG,BNT162b2 vaccine,Child,Infant,Neutralizing antibody titer,SARS-CoV-2 vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFT calculations,Ethylene polymerization,FI catalyst,Mechanism,Nickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alginate,Chitosan,Iron oxide nanoparticles,Magnetic targeting delivery,Stimuli-responsive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health knowledge,attitudes,practice,In-depth interview,Levonorgestrel,Postcoital contraception,Surveys and questionnaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alantolactone,Antioxidant,Antitumor,Controlled release,Nanoparticles,Zein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchorage-independent growth,Anoikis,Anoikis resistance,Metabolomics,Metastasis,Non-small-cell lung cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D printing,Edible insects,Food design,Future food,Shape transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contraceptive implant,COVID-19,Long-acting reversible contraceptives,Telehealth,Telemedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenic,Electrochemical detection,Microfluidic device,Smartphone,Speciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune cell activation,Marine invertebrate,Neuron apoptosis,Neuronal injury,Protein plaque,α-synuclein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attitude,Knowledge,Medical abortion,Pharmacy students,Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbonate reservoir,Geological CO2storage,Khorat plateau,Numerical simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep-tech,Entrepreneurship,Innovation,Intellectual property,New product development,Research to commercialization,Technology transfer,Technopreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acceptability,Feasibility,Malaria elimination,Reactive drug administration,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial intelligence,Automatic digitization,Cephalometric tracings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant enzymes,Continuous light,Hydroponic cultivation,Light spectrum,Molecular antioxidants,Phenolics productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical profiles,Ecological aspects,Endophytes,Host and habitat preferences,Plant diseases,Systematics,Xylariaceae,Xylariales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical imaging,Patient shielding,Radiation protection,Surveys and questionnaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parent proxy,PROMIS,Thai,Translation,Upper extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLP,Oral lichen planus,Shortened version of Oral Impact on Daily Performances,Shortened version of the OIDP index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjuvant drug,Breast cancer,Herbal medicine,Phellinus linteus,Smilax corbularia,Smilax glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akt pathway,CSCs,Lung cancer,Molecular docking,Molecular dynamics simulations,Moscatilin,Resveratrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioCement,Bioceramic,Biological properties,Chemical properties,Cockle shell,Dental pulp,Physical properties,Tricalcium silicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biliary atresia,Immune response,Inflammatory injury,Liver fibrosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcinoma,Metformin,Orthodontics,Osseointegration,Periodontitis,Photochemotherapy,Squamous cell,Stem cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketegenic diet,Meta-analysis,Seizure,Systematic review,Umbrella review,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adherence,Antihyperglycemic medications,Difference-in-difference,Lipid-lowering medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute pancreatitis,Intestinal integrity,Mice,Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrosome integrity,Antibiotics,Boar,Chilled semen,Seminal bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabis,Harm,Laws,Legalization,Prevalence,Substance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biofilm,Dental plaque,Fixed orthodontic appliance,Gingival index,Gingival inflammation,LED toothbrush,Orthodontic patient,Plaque index,Streptococcus mutans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C26 carnitine,Hexacosanoylcarnitine,Metabolomic signature,Newborn screening,PCA,PLS-DA,Sparse PLS-DA,t-SNE,Very long chain fatty acids,X-ALD,X-linked adrenoleukodystrophy,Zellweger syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head and neck cancer,Hyposalivation,Radiotherapy,Salivary gland,Trehalose,Xerostomia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clotting factor concentrates,Coagulation factor,Healthcare rationing,Hemophilia,Hemophilia A,Hemophilia B,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute coronary syndrome,Bleeding,Enoxaparin,Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home parenteral nutrition,Liver function,Mixed oil lipid emulsion,Soybean oil lipid emulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypodontia,Molar teeth,Oligodontia,Paired-box gene,Tooth development,Tooth missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dental students,Empathy,Jefferson Scale of Empathy,Reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal endophthalmitis,Panuveitis,Sporothrix,Sporotrichosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-FU,Chemotherapy,Leukoencephalopathy,Neuroleptic malignant syndrome,Neurotoxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronavirus,COVID-19,Drug-related problems,Home isolation,Pharmaceutical care,Pharmacists,Telepharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Androgen receptor,Autism spectrum disorder,Bisphenol A,Endocrine-disrupting chemical,Microplastics,Molecular docking,Sex difference,Synaptogenesis,Transcription factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabidiol,Cannabinoids,Cannabis,CBD,Recurrent aphthous stomatitis,Recurrent aphthous ulcer,Topical steroids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibiotic,Antibiotic-coated,Antibiotic-loaded,Hydroxyapatite,Nile tilapia,Scaffold,Vancomycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant,Antiplasmodial,Hepatoprotective,Immunomodulator,Malaria,Nephroprotective,Plasmodium berghei,Plasmodium falciparum,Sonchus arvensis L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disabilities,HIIT,Interval exercise,Public health,Young people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenal cortex hormones steroids,Magnetic resonance imaging,Pain,Platelet-rich plasma,Tendinopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheminformatics,Former,Hydrate,Machine learning,Methane,Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contraceptives,Female sterilization,Health coverage,Postpartum sterilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossopharyngeal neuralgia,Hemifacial spasm,Neurovascular compression syndromes,Type-writer tinnitus,Vestibular paroxysmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional electrical stimulation,Physical therapy,Robotic-assisted gait training,Treadmill,Walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anodontia,Hypodontia,Malocclusion,Microdontia,Nonsyndromic tooth agenesis,Oligodontia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chewing difficulty,Older adults,Oral status,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADR,De-labeling,Drug allergy,Multidisciplinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracellular signal-regulated kinase (ERK),Glucose-regulated protein 78 (GRP78),Histone deacetylase 6 (HDAC6),Lung cancer,Tubulin acetylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hair,Heavy metals,Printing factory workers,Thailand,Urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,Maladaptive coping behaviours,Pandemic,Resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competitive Advantage,Firm Performance,Manager Support,Supply Chain Management,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active sites,Bronsted and Lewis acid,Dispersion,Metathesis,Surface silanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
field output factors,IAEA-AAPM TRS-483,Monte Carlo simulation,small field dosimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity detection,eDNA metabarcoding,Gulf of Thailand,Impact assessment,Marine diversity,Oil and gas platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-CaCO3,-TiO2,Bhimal Fiber (Grewia optiva),Bio-Composites,Flyash,Mechanical Properties,Optical Microscopy,Scanning Electron Microscopy,Thermal Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiOBr,Exposed 1 1 0 facets,pH control,Photo-assisted charging supercapacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubbly flow,Interfacial area concentration,Interfacial drag force,Interfacial heat transfer,Subcooled boiling flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioremediation,Crude oil-contaminated seawater,Immobilized bacterial consortium,Oil spill,Whole genome analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcium aluminate cement,Fly ash,Graphene nanoplatelets,Mechanical properties,Microstructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alginate encapsulation,Biocatalyst,Biohybrid system,Biohydrogen production,Photocatalyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced optical technologies,Clustering,Load balancing,Optical antennas,Scheduling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloys,Carbon nanotubes,Hydrogen evolution reaction,Hydrogen generation,Nickel palladium,Waste plastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrageenan,Electrically controlled release,Freeze-drying,Transdermal patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coking,Cyclic coke,Density functional theory,Phase transformation,γ-Al2O3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaotic logistic map,Comprehensive learning,Heterogeneous,Particle swarm optimization,Structural optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaussian process regression,Machine learning,Meteorological condition,Particulate matters,Prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadmium contamination,Food safety,Magnet-assisted soil washing,Soil remediation,Zero-valent iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electron beam,Electron dose,Natural rubber latex,Properties,Sulfur vulcanization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1. Nanostructures,A3. Molecular beam epitaxy,B2. Semiconducting III-V materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibacterial activity,Asparagus racemose,Photocatalytic activity,Wastewater,ZnO nanoparticles,ZnO-Chitosan-fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanide ion,Fluorescent sensor,Indolium ion,Julolidine,Pyrene,Triphenylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interfacial area transport equation,Large rectangular channel,Non-uniform inlet conditions,Two-fluid model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold plasma,Decontamination,Dielectric barrier discharge plasma,Microbial destruction,Nonthermal plasma,Shelflife extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldol condensation,Bifunctional catalysts,Bio-jet fuel,Furfural,Mixed oxides,SBA-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca.E. renieramycinifaciens,Chaetocerose gracilis,Culture,Nannochloropsis sp.,Renieramycins,Xestospongia sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibacterial activity,Nanocarrier,SiO2@C core–shell,Slow release,Thymol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabis,CB2 receptor,Electrochemical detection,Lateral-flow assay,Point-of-care testing,Δ9-tetrahydrocannabinol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D printing,Electrical energy storage,Gel polymer electrolyte,Photopolymerization,Zinc battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-silica,Dielectric constant,Graphitic carbon nitride,Hydrophobicity,Oil-water separation,Polybenzoxazine,Thermal stability,Thymolphthalein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aortic stenosis,economic burden,hospitalization,mortality,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrochemical sensors,Enterovirus 71 (EV71),Hand foot and mouth disease (HFMD),Polyacrylamide composites,Self-assembly,Silver nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biopolymers,Chitosan,Chitosan nanoparticles,Composites,Functionalization,Hydrogels,Wound dressings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble evolution,Electrode-electrolyte interface,Flow battery,Multiphysics,Surface morphology,Zinc-air battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimicrobial susceptibility,Betta fish,Disinfectants,Histopathology,Non-tuberculous mycobacteria,Pathogenicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gradient-free proportional topology optimization,isogeometric analysis,multiresolution,reconstruction with NURBS basis functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anharmonicity,First-principles calculations,Phonon,Superconductivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capillary-driven microfluidics,COVID-19,Diagnostic testing,Immunoassays,Point-of-care,SARS-CoV-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dye wastewater treatment,Hollow fiber photocatalytic membrane,Polydopamine,Polyvinylidene difluoride membrane,TiO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attitudes,Knowledge,Pig farms,Practices,Swine influenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol production,Fermentation process,Mixture design,Process simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclodextrin,Eye drop,Posterior segment,Retina,Tacrolimus,Zein nanoparticle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air pollution,Air Q+,Health impact assessment,PM2.5,Premature mortality,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dengue fever,Dengue hemorrhagic fever,Dengue shock syndrome,Dengue virus,PRISMA,Systemic review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,Inflammation,Kynurenine,Mood disorders,Neuro-immune,Tryptophan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic stability,Green space,Healthy lifestyle,Social cohesion,Urban public space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ankylosing spondylitis,biosimilar,CT-P13,infliximab,phase IV,post-marketing surveillance,psoriatic arthritis,rheumatoid arthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthocyains-rich,Antibacterial activity,Berry extracts,Bio-nanocomposites,Magnetic Fe3O4,Surfact coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Bone cracking,Felidae,Late Miocene,New taxon,Pantherine,Sabre-toothed cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health check,Mental health,Nurse,Psychosis,RCT,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst,Hydrogenation,Metal-organic framework derived materials,Oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affective disorders,Antioxidants,Autoimmunity,Depression,Neuro-immune,Oxidative and nitrosative stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual-shaped silver nanoparticles,Growth-based plasmonic sensor,Hydrogen peroxide sensor,Silver nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brugia spp.,Canine filariasis,Dirofilaria immitis,Dirofilaria repens,Thailand,Wolbachia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacterial communities,Benzothiazoles,Cell immobilization,Rubber industry,Wastewater treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copolymerization,Gas-phase polymerization,Magnesium sources,Triethylaluminum,Trioctylaluminum,Ziegler-Natta catalyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceftriaxone,Determination,Drug analysis,Electrochemistry,Molecularly imprinted polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanide-based gold plating,Photocatalytic gold recovery,TiO2/WO3nanocomposites,Wastewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood impact,Minority ethnic communities,Natural disaster,Risk,Rural flooding,Vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser etching,Osseointegration,Polyetheretherketone,Sulfonation,Surface modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adolescent,children,complications,risk factors,thalassemia,young adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colistin,Combining MD-docking simulations,Drug screening,mcr-1,Pyrazolone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexure,Precast segment,Segmental joint,Shear,Ultra-high performance concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biorefinery,Direct transesterification,Itaconic acid,Methyl ester,Microalgae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Built-environment,Machine learning,Nonlinear relationship,Systematic review,Travel behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic research consortium,Bleeding,Percutaneous coronary intervention,Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycling stability,Humid atmosphere,Hydrophobic,Li anode protection,Li-O2battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied plasma science,IAPS,ISAPS 2022,New trend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-analysis,Partial articular supraspinatus,Partial-thickness,PASTA,Rotator cuff,Systematic review,Take down,Tear completion,Transtendon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percutaneous balloon pulmonary valvuloplasty,Pulmonary annulus growth,Systemic to pulmonary shunt,Tetralogy of Fallot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight-mimicking lighting,Light emitting diode lighting system,Light-emitting diodes,Melanopic matrices,Non-visual effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum alloy scrap,Cementation,Fe/Al bimetallic materials,Magnetic separation,Recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adsorption mechanism,Iodinated trihalomethanes,MIL-53(Al),MIL-88B(Fe),MOF-derived carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,Disposal behavior,Nigeria,Waste management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Built environment,Concrete,Construction,Environment,Microplastic,Pollution,Polymer,Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibody,Biosensor,Graphene,Kidney disease,Square wave voltammetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdomen,ASIR,Computed tomography,Deep Learning image reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anuran,development,gonad,sex differentiation,steroidogenic enzyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrier relaxation time,Circuit parameters,Electrical conductivities,Impedance characteristics,n-β-FeSi2/p-silicon heterojunctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biocomposites,Epoxidized natural rubber,Physical chemical degradation,Poly(lactic acid),Weathering acceleration,Wood pulp fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In2S3thin film,La doped,Nebulizer spray pyrolysis method,UV photodetector application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collective risk model,Compound binomial distribution,Compound negative binomial distribution,Compound Poisson distribution,Individual risk model,Local limit theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antiseizure medications,HRV,SUDEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxygen vacancy,Photocatalytic CO2reduction,Reaction mechanism,Surface affinity,Ultrathin films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gel electromembrane extraction,Ion chromatography,Nitrite and nitrate,Oxygen scavenger,Speciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeSe2,High conductivity,Pouch cell,Practical sodium-ion batteries,S-Doping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2desorption,Computational fluid dynamics,Fluidized bed,K2CO3/γ-Al2O3,Restitution coefficient,Wet fluidization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENR,HDPE,PBAT,PLA,Polymer blending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoregressive-distributed lag model,Demand forecasting,Price elasticity,Promotion effectiveness,Retail pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digestive histology,gastric cell,Japanese flathead fish,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholesterol-lowering,Fermented mussel,Immunomodulation,Lactiplantibacillus plantarum,Probiogenomic,Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
institutional theory,management history,organization theory,qualitative research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrites,Dendrites-free,Grinding,Nano-Si,Zinc-ion batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 vaccines,Fractional dosing,Heterologous regimens,Homologous regimens,Paediatric boosters,Paediatric vaccination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria,Elongation factor G,Protective effects,Stress,Synechococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holocene,Luminescence dating,Pleistocene,Sand ridges,Sea-level change,Sundaland,Thai-Malay peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Müllerian hormone,Cryptorchidism,Dogs,Immunohistochemistry,Testis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crumb rubber,Geopolymer concrete,Graphene nanoplatelets,Optimization,Recycled material,Response surface methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological nitrogen removal,Earthen shrimp pond,Nitrogen carrying capacity,Nitrogen waste,Sustainable aquaculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computational wear prediction,Fatigue,Impact wear,Wear mechanism,Wear rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amine incorporation,carbon dots,gamma irradiation,supercapacitor,zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antiretroviral therapy,CD8 T cells,cell differentiation,HIV,HIV reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Collectivity,Photon-proton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Diboson resonances,Substructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b jets,Beauty quark,CMS,Heavy ion,Jet quenching,QGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computational fluid dynamics,Downdraft biomass gasifier,Multi-objective optimization,Response surface methodology,Tar cracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Top quark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpox,Southeast Asia,surveillances,Tracing,transmission,wastewaters,WBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical Cancer,Cervix Uteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
